           1      1.1989      1.1989           0
           2     1.21019     1.20455  0.00399027
           3     1.18627     1.19845  0.00564166
           4      1.1544     1.18744   0.0104336
           5     1.16424      1.1828   0.0093216
           6     1.16753     1.18026  0.00810819
           7       1.152     1.17622  0.00789079
           8     1.19236     1.17824  0.00715788
           9     1.20621     1.18135  0.00700492
          10     1.19805     1.18302  0.00650061
          11     1.20942     1.18542  0.00633728
          12     1.21862     1.18818  0.00638485
          13      1.2168     1.19038  0.00626169
          14      1.2395     1.19389  0.00672581
          15     1.24507      1.1973  0.00709005
          16     1.24611     1.20036  0.00727358
          17     1.23481     1.20238  0.00712244
          18     1.24817     1.20493  0.00716662
          19     1.17724     1.20347  0.00693594
          20     1.16096     1.20134  0.00690715
          21      1.1921      1.2009  0.00659224
          22     1.21166     1.20139  0.00631069
          23     1.20545     1.20157  0.00603877
          24     1.19167     1.20116  0.00580123
          25     1.20646     1.20137  0.00557306
          26      1.1862     1.20078  0.00538917
          27     1.21639     1.20136  0.00522046
          28     1.18226     1.20068  0.00507841
          29     1.18327     1.20008  0.00493864
          30     1.18165     1.19947  0.00481208
          31     1.21549     1.19998  0.00468454
          32      1.2107     1.20032   0.0045501
          33     1.20593     1.20049  0.00441539
          34     1.21516     1.20092  0.00430657
          35     1.21269     1.20125  0.00419663
          36     1.20057     1.20124   0.0040801
          37     1.20989     1.20147  0.00397652
          38     1.19318     1.20125  0.00387785
          39     1.20694      1.2014  0.00378116
          40     1.21845     1.20182  0.00371058
