4.206875801086425781e+00 3.946730136871337891e+00
3.089589118957519531e+00 2.884248018264770508e+00
2.313941001892089844e+00 2.139931201934814453e+00
1.752824068069458008e+00 1.606400728225708008e+00
1.336142063140869141e+00 1.216129541397094727e+00
1.027188777923583984e+00 9.263267517089843750e-01
7.913270592689514160e-01 7.084171175956726074e-01
6.123641729354858398e-01 5.448467135429382324e-01
4.780690073966979980e-01 4.241909086704254150e-01
3.766096234321594238e-01 3.297356367111206055e-01
2.992056906223297119e-01 2.592045962810516357e-01
2.400780171155929565e-01 2.051210254430770874e-01
1.963229775428771973e-01 1.632099598646163940e-01
1.619082242250442505e-01 1.306550055742263794e-01
1.364539861679077148e-01 1.053759604692459106e-01
1.166995614767074585e-01 8.640790730714797974e-02
1.018313318490982056e-01 7.201573252677917480e-02
9.041005373001098633e-02 6.066264957189559937e-02
8.183680474758148193e-02 5.176555737853050232e-02
7.535184919834136963e-02 4.444284364581108093e-02
7.012949138879776001e-02 3.884088993072509766e-02
6.673993915319442749e-02 3.466604277491569519e-02
6.383135914802551270e-02 3.140705078840255737e-02
6.152231618762016296e-02 2.843526192009449005e-02
5.976596847176551819e-02 2.633145824074745178e-02
5.838769301772117615e-02 2.463682927191257477e-02
5.775191634893417358e-02 2.305023558437824249e-02
5.682472884654998779e-02 2.186789177358150482e-02
5.640731379389762878e-02 2.086537703871726990e-02
5.595953017473220825e-02 2.012658864259719849e-02
