0,14.8581,-nan,5.18233,-nan
1,15.0777,0.219657,5.24721,0.0648831
2,15.4345,0.378585,5.033,0.21746
3,15.1361,0.400815,5.32777,0.332467
4,14.9796,0.347718,5.30772,0.258307
5,15.2971,0.425923,5.29949,0.211067
6,15.0445,0.439721,5.37606,0.194122
7,15.1805,0.404342,5.40752,0.171034
8,15.1097,0.363544,5.42958,0.152442
9,15.0813,0.326405,5.41928,0.136737
10,15.1116,0.296798,5.41612,0.123723
11,15.0166,0.287102,5.36222,0.125145
12,14.9712,0.267968,5.37911,0.116349
13,15.1033,0.281037,5.36574,0.108545
14,15.0086,0.278247,5.40701,0.109151
15,15.0839,0.270965,5.38927,0.103631
16,15.2144,0.286023,5.34574,0.106635
17,15.2431,0.27119,5.36882,0.103152
18,15.187,0.262585,5.34682,0.100022
19,15.235,0.253687,5.34374,0.0949392
20,15.1952,0.244559,5.36913,0.0938061
21,15.1727,0.234261,5.36556,0.0895118
22,15.1871,0.224309,5.34782,0.0873523
23,15.1657,0.215821,5.38942,0.093411
24,15.1694,0.20704,5.39103,0.0896111
25,15.1431,0.200645,5.3924,0.0861065
26,15.0949,0.198997,5.40968,0.0846377
27,15.0618,0.194587,5.42272,0.0825952
28,15.0108,0.19458,5.44181,0.081952
29,14.9943,0.188701,5.43276,0.079689
30,14.9994,0.182584,5.43433,0.0770914
31,14.9871,0.177218,5.43411,0.0746437
32,14.9543,0.174861,5.42648,0.0727475
33,14.9564,0.169653,5.42756,0.0705838
34,14.9441,0.165189,5.44282,0.0702162
35,14.964,0.16176,5.4409,0.0682651
36,14.9116,0.165828,5.45385,0.0676457
37,14.9215,0.161708,5.44709,0.0661869
38,14.9453,0.159295,5.43423,0.0657381
39,14.92,0.157305,5.44678,0.0652916
40,14.8962,0.155264,5.45723,0.0645302
41,14.8579,0.156272,5.46596,0.0635769
42,14.856,0.152607,5.46051,0.0623194
43,14.8232,0.152663,5.48203,0.064578
44,14.8169,0.149367,5.47536,0.0634777
45,14.8213,0.146152,5.46677,0.0626744
46,14.8222,0.143011,5.46995,0.0614089
47,14.814,0.140239,5.46312,0.0605026
48,14.8126,0.137354,5.46787,0.0594448
49,14.8097,0.134611,5.45682,0.0592824
50,14.8082,0.131954,5.45868,0.0581381
51,14.8425,0.133864,5.44215,0.0593576
52,14.8566,0.132077,5.443,0.0582332
53,14.8772,0.131225,5.44052,0.0571988
54,14.8501,0.131636,5.44588,0.0564047
55,14.8434,0.129438,5.44841,0.0554459
56,14.8386,0.127238,5.4484,0.0544645
57,14.8445,0.125166,5.43152,0.0561158
58,14.8646,0.124653,5.42379,0.0556955
59,14.8674,0.122591,5.42767,0.0548963
60,14.8657,0.120576,5.42141,0.0543503
61,14.847,0.120082,5.43001,0.054154
62,14.8484,0.118168,5.43103,0.0532973
63,14.8476,0.116311,5.42511,0.0527908
64,14.8679,0.116295,5.40984,0.0541716
65,14.8899,0.116619,5.40101,0.054069
66,14.8847,0.114983,5.39292,0.053868
67,14.905,0.115086,5.39721,0.0532431
68,14.8874,0.114764,5.39975,0.0525271
69,14.8938,0.11329,5.39381,0.0521101
70,14.9181,0.114304,5.39105,0.0514451
71,14.9156,0.112732,5.39062,0.0507273
72,14.9296,0.112049,5.39359,0.0501154
73,14.9503,0.112453,5.39273,0.0494409
74,14.9531,0.110979,5.38623,0.0492083
75,14.941,0.110177,5.38632,0.0485566
76,14.9432,0.108758,5.3868,0.0479242
77,14.9469,0.107419,5.38959,0.0473878
78,14.9335,0.106888,5.39236,0.0468661
79,14.9557,0.107847,5.38552,0.0467784
80,14.9534,0.106531,5.38913,0.0463381
81,14.9517,0.105239,5.38777,0.0457897
82,14.9595,0.104261,5.39201,0.0454328
83,14.9667,0.103261,5.38718,0.0451477
84,14.95,0.103403,5.39345,0.0450514
85,14.9537,0.102261,5.3956,0.0445765
86,14.9372,0.102407,5.40361,0.0447837
87,14.9228,0.102265,5.41281,0.0452169
88,14.9244,0.101122,5.41294,0.0447061
89,14.9083,0.101281,5.41267,0.0442074
90,14.9117,0.100221,5.40905,0.043868
91,14.9236,0.0998421,5.40598,0.0434973
92,14.931,0.0990337,5.40913,0.0431422
93,14.9237,0.0982441,5.40959,0.0426832
94,14.9223,0.0972137,5.41417,0.042479
95,14.9175,0.0963189,5.41961,0.0423849
96,14.9236,0.0955205,5.41818,0.0419701
97,14.918,0.0947102,5.41402,0.0417468
98,14.9194,0.0937595,5.41404,0.041323
99,14.9267,0.093101,5.41793,0.0410926
